idx,kind,type,start_x,start_y,end_x,end_y,length_m
85,curve,DegenerateBezier,-3.347,3.881,-2.907,3.88,0.4400013644913625
86,curve,DegenerateBezier,-2.907,3.88,-2.467,3.879,0.44000136449136257
87,curve,DegenerateBezier,-2.467,3.879,-2.067,3.878,0.40000149889471576
88,curve,DegenerateBezier,-2.067,3.878,-1.349,3.875,0.7180062673845492
89,curve,DegenerateBezier,-1.349,3.875,-0.909,3.874,0.4400013644913625
90,curve,DegenerateBezier,-0.909,3.874,-0.469,3.873,0.4400013644913628
91,curve,DegenerateBezier,-0.469,3.873,-0.029,3.871,0.44000477046080283
92,curve,DegenerateBezier,-0.029,3.871,0.411,3.87,0.4400013644913625
93,curve,DegenerateBezier,0.411,3.87,0.851,3.869,0.44000136449136257
94,curve,DegenerateBezier,0.851,3.869,1.593,3.867,0.742002830944962
95,curve,DegenerateBezier,1.593,3.867,2.033,3.866,0.4400013644913626
96,curve,DegenerateBezier,2.033,3.866,2.473,3.865,0.44000136449136246
97,curve,DegenerateBezier,2.473,3.865,2.913,3.864,0.44000136449136257
98,curve,DegenerateBezier,2.913,3.864,3.353,3.863,0.440001364491363
99,curve,DegenerateBezier,3.353,3.863,3.793,3.862,0.44000136449136257
100,curve,DegenerateBezier,3.793,3.862,4.471,3.859,0.6780066371356562
101,curve,DegenerateBezier,4.471,3.859,4.911,3.858,0.44000136449136207
102,curve,DegenerateBezier,4.911,3.858,5.351,3.857,0.440001364491363
103,curve,DegenerateBezier,5.351,3.857,5.791,3.856,0.44000136449136296
104,curve,DegenerateBezier,5.791,3.856,6.231,3.855,0.4400013644913621
105,curve,DegenerateBezier,6.231,3.855,6.671,3.854,0.44000136449136307
106,curve,DegenerateBezier,-6.529,2.765,-4.227,3.883,3.0851283588070517
107,curve,DegenerateBezier,6.671,3.854,9.157,2.85,3.136831909720033
108,curve,DegenerateBezier,-8.115,1.332,-6.529,1.332,1.5860000000000003
109,curve,DegenerateBezier,-6.529,1.332,-8.115,1.332,1.5860000000000003
110,curve,DegenerateBezier,-8.115,-0.203,-6.529,-0.193,1.5860315893639865
111,curve,DegenerateBezier,-6.529,-0.193,-8.115,-0.203,1.5860315893639867
112,curve,DegenerateBezier,-6.529,2.765,-6.529,4.257,1.4919999999999995
113,curve,DegenerateBezier,-6.529,4.257,-6.529,4.356,0.0990000000000002
114,curve,DegenerateBezier,-8.115,4.257,-6.529,4.257,1.5860000000000003
115,curve,DegenerateBezier,-6.529,4.257,-8.115,4.257,1.5860000000000003
